source_input,follow_input,target_output,follow_output
"['I', 'do', ""n't"", 'know', 'if', 'you', 'spoke', 'to', 'me', 'before', 'that', 'or', 'when', 'it', 'was', 'that', 'was', 'happening', '.', 'Or']","['When', 'it', 'was', 'that', 'was', 'happening', '.', 'Or', ',', 'I', 'do', ""n't"", 'know', 'if', 'you', 'spoke', 'to', 'me', 'before', 'that', 'or', '.']","['ADV', 'PRON', 'VERB', 'DET', 'AUX', 'VERB', 'PUNCT', 'CCONJ', 'PUNCT', 'PRON', 'AUX', 'PART', 'VERB', 'SCONJ', 'PRON', 'VERB', 'ADP', 'PRON', 'ADP', 'DET', 'CCONJ', 'PUNCT']","['ADV', 'PRON', 'VERB', 'DET', 'AUX', 'PUNCT', 'PUNCT', 'CCONJ', 'PUNCT', 'PRON', 'AUX', 'PART', 'VERB', 'SCONJ', 'PRON', 'VERB', 'ADP', 'PRON', 'ADP', 'DET', 'CCONJ', 'PUNCT']"
"['But', 'the', 'man', 'did', 'not', 'last', 'in', 'power', 'more', 'than', 'one', 'term', '-LRB-', 'four', 'years', '-RRB-', ',', 'and', 'when', 'he', 'began', 'to', 'understand', 'the', 'truth', 'of', 'the', 'conflict', 'in', 'the', 'region', ',', 'he', 'lost', 'the', 'presidential', 'elections', '.']","['When', 'he', 'began', 'to', 'understand', 'the', 'truth', 'of', 'the', 'conflict', 'in', 'the', 'region', ',', 'but', 'the', 'man', 'did', 'not', 'last', 'in', 'power', 'more', 'than', 'one', 'term', '-LRB-', 'four', 'years', '-RRB-', ',', 'and', ',', 'he', 'lost', 'the', 'presidential', 'elections', '.']","['ADV', 'PRON', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'AUX', 'PART', 'VERB', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'NUM', 'NOUN', 'PROPN', 'NUM', 'NOUN', 'PROPN', 'PUNCT', 'CCONJ', 'PUNCT', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['ADV', 'PRON', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'AUX', 'PART', 'VERB', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'NOUN', 'PROPN', 'PUNCT', 'CCONJ', 'PUNCT', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
"['First', 'of', 'all', ',', 'for', 'people', 'who', 'work', 'in', 'the', 'city', 'from', 'the', 'central', 'and', 'western', 'regions', 'um', ',', 'uh', ',', 'according', 'to', 'their', 'educational', 'level', ',', 'they', 'generally', 'engage', 'in', 'strenuous', 'manual', 'labor', 'when', 'they', 'leave', 'for', 'the', 'city', 'to', 'work', '.']","['When', 'they', 'leave', 'for', 'the', 'city', 'to', 'work', ',', 'first', 'of', 'all', ',', 'for', 'people', 'who', 'work', 'in', 'the', 'city', 'from', 'the', 'central', 'and', 'western', 'regions', 'um', ',', 'uh', ',', 'according', 'to', 'their', 'educational', 'level', ',', 'they', 'generally', 'engage', 'in', 'strenuous', 'manual', 'labor', '.']","['ADV', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'PUNCT', 'ADV', 'ADP', 'DET', 'PUNCT', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'INTJ', 'PUNCT', 'INTJ', 'PUNCT', 'ADP', 'ADP', 'PRON', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'ADV', 'VERB', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']","['ADV', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'PUNCT', 'ADV', 'ADP', 'DET', 'PUNCT', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'INTJ', 'PUNCT', 'INTJ', 'PUNCT', 'VERB', 'ADP', 'PRON', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'ADV', 'VERB', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']"
"['""', 'The', 'government', 'says', 'that', 'the', 'first', 'phase', 'is', 'for', 'transporting', 'gravel', ',', 'but', 'when', 'the', 'third', 'phase', 'is', 'completed', 'a', 'lot', 'of', 'goods', 'will', 'be', 'shipped', 'in', 'and', 'out', 'of', 'here', '.']","['When', 'the', 'third', 'phase', 'is', 'completed', 'a', 'lot', 'of', 'goods', 'will', 'be', 'shipped', 'in', 'and', 'out', 'of', 'here', ',', '""', 'The', 'government', 'says', 'that', 'the', 'first', 'phase', 'is', 'for', 'transporting', 'gravel', ',', 'but', '.']","['ADV', 'DET', 'ADJ', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'CCONJ', 'SCONJ', 'ADP', 'ADV', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'VERB', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'AUX', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ', 'PUNCT']","['ADV', 'DET', 'ADJ', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'CCONJ', 'SCONJ', 'ADP', 'ADV', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'VERB', 'SCONJ', 'DET', 'ADJ', 'NOUN', 'AUX', 'ADP', 'VERB', 'NOUN', 'PUNCT', 'CCONJ', 'PUNCT']"
"['Customs', 'is', 'entitled', 'to', 'reject', 'shipments', 'of', 'goods', 'that', 'can', 'not', 'provide', 'legal', 'proof', ';', 'for', 'importing', 'and', 'exporting', 'laser', 'discs', ',', 'laser', 'video', 'discs', 'and', 'importing', 'laser', 'disc', 'molds', 'and', 'materials', 'and', 'laser', 'videos', 'as', 'part', 'of', 'processing', 'trade', ',', 'the', 'consignors', 'and', 'consignees', 'shall', 'complete', 'Customs', 'formalities', 'based', 'on', 'relevant', 'regulations', 'of', 'the', 'country', 'and', 'proof', 'of', 'approval', 'issued', 'by', 'relevant', 'departments', 'concerned', 'with', 'audio', 'and', 'video', 'products', ';', 'when', 'importing', 'and', 'exporting', 'goods', ',', 'if', 'the', 'consignors', 'and', 'consignees', 'falsify', 'conditions', 'of', 'the', 'property', 'rights', 'of', 'the', 'goods', ',', 'evade', 'supervision', 'of', 'Customs', ',', 'and', 'smuggle', 'goods', 'that', 'violate', 'rights', ',', 'Customs', 'will', 'handle', 'them', 'in', 'accordance', 'with', 'the', 'relevant', 'regulations', '.']","['When', 'importing', 'and', 'exporting', 'goods', ',', 'customs', 'is', 'entitled', 'to', 'reject', 'shipments', 'of', 'goods', 'that', 'can', 'not', 'provide', 'legal', 'proof', ';', 'for', 'importing', 'and', 'exporting', 'laser', 'discs', ',', 'laser', 'video', 'discs', 'and', 'importing', 'laser', 'disc', 'molds', 'and', 'materials', 'and', 'laser', 'videos', 'as', 'part', 'of', 'processing', 'trade', ',', 'the', 'consignors', 'and', 'consignees', 'shall', 'complete', 'Customs', 'formalities', 'based', 'on', 'relevant', 'regulations', 'of', 'the', 'country', 'and', 'proof', 'of', 'approval', 'issued', 'by', 'relevant', 'departments', 'concerned', 'with', 'audio', 'and', 'video', 'products', ';', ',', 'if', 'the', 'consignors', 'and', 'consignees', 'falsify', 'conditions', 'of', 'the', 'property', 'rights', 'of', 'the', 'goods', ',', 'evade', 'supervision', 'of', 'Customs', ',', 'and', 'smuggle', 'goods', 'that', 'violate', 'rights', ',', 'Customs', 'will', 'handle', 'them', 'in', 'accordance', 'with', 'the', 'relevant', 'regulations', '.']","['ADV', 'VERB', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'VERB', 'PART', 'VERB', 'NOUN', 'ADP', 'NOUN', 'DET', 'AUX', 'AUX', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'VERB', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'PROPN', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADP', 'ADJ', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'CCONJ', 'VERB', 'NOUN', 'DET', 'VERB', 'NOUN', 'PUNCT', 'PROPN', 'AUX', 'VERB', 'PRON', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['ADV', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'VERB', 'PART', 'VERB', 'NOUN', 'ADP', 'NOUN', 'DET', 'AUX', 'AUX', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'CCONJ', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'PROPN', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADP', 'ADJ', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'CCONJ', 'VERB', 'NOUN', 'DET', 'VERB', 'NOUN', 'PUNCT', 'PROPN', 'AUX', 'VERB', 'PRON', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']"
"['But', 'other', 'than', 'the', 'fact', 'that', 'besuboru', 'is', 'played', 'with', 'a', 'ball', 'and', 'a', 'bat', ',', 'it', ""'s"", 'unrecognizable', ':', 'Fans', 'politely', 'return', 'foul', 'balls', 'to', 'stadium', 'ushers', ';', 'the', 'strike', 'zone', 'expands', 'depending', 'on', 'the', 'size', 'of', 'the', 'hitter', ';', 'ties', 'are', 'permitted', '--', 'even', 'welcomed', '--', 'since', 'they', 'honorably', 'sidestep', 'the', 'shame', 'of', 'defeat', ';', 'players', 'must', 'abide', 'by', 'strict', 'rules', 'of', 'conduct', 'even', 'in', 'their', 'personal', 'lives', '--', 'players', 'for', 'the', 'Tokyo', 'Giants', ',', 'for', 'example', ',', 'must', 'always', 'wear', 'ties', 'when', 'on', 'the', 'road', '.']","['When', 'on', 'the', 'road', ',', 'but', 'other', 'than', 'the', 'fact', 'that', 'besuboru', 'is', 'played', 'with', 'a', 'ball', 'and', 'a', 'bat', ',', 'it', ""'s"", 'unrecognizable', ':', 'Fans', 'politely', 'return', 'foul', 'balls', 'to', 'stadium', 'ushers', ';', 'the', 'strike', 'zone', 'expands', 'depending', 'on', 'the', 'size', 'of', 'the', 'hitter', ';', 'ties', 'are', 'permitted', '--', 'even', 'welcomed', '--', 'since', 'they', 'honorably', 'sidestep', 'the', 'shame', 'of', 'defeat', ';', 'players', 'must', 'abide', 'by', 'strict', 'rules', 'of', 'conduct', 'even', 'in', 'their', 'personal', 'lives', '--', 'players', 'for', 'the', 'Tokyo', 'Giants', ',', 'for', 'example', ',', 'must', 'always', 'wear', 'ties', '.']","['ADV', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'SCONJ', 'DET', 'NOUN', 'SCONJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'ADJ', 'PUNCT', 'NOUN', 'ADV', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'ADV', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADV', 'ADP', 'PRON', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'AUX', 'ADV', 'VERB', 'NOUN', 'PUNCT']","['ADV', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'SCONJ', 'DET', 'NOUN', 'SCONJ', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'ADJ', 'PUNCT', 'NOUN', 'ADV', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'ADV', 'VERB', 'PUNCT', 'SCONJ', 'PRON', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADV', 'ADP', 'PRON', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'AUX', 'ADV', 'VERB', 'NOUN', 'PUNCT']"
"['Chen', 'frets', 'about', 'the', 'way', 'the', 'media', 'has', 'focused', 'the', 'spotlight', 'on', 'him', 'alone', ',', 'when', 'numerous', 'other', 'individuals', 'are', 'also', 'involved', ',', 'all', 'chipping', 'in', 'what', 'they', 'can', '.']","['When', 'numerous', 'other', 'individuals', 'are', 'also', 'involved', ',', 'chen', 'frets', 'about', 'the', 'way', 'the', 'media', 'has', 'focused', 'the', 'spotlight', 'on', 'him', 'alone', ',', 'all', 'chipping', 'in', 'what', 'they', 'can', '.']","['ADV', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADJ', 'PUNCT', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'ADV', 'PUNCT', 'DET', 'VERB', 'ADP', 'PRON', 'PRON', 'AUX', 'PUNCT']","['ADV', 'ADJ', 'ADJ', 'NOUN', 'AUX', 'ADV', 'VERB', 'PUNCT', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'ADV', 'PUNCT', 'DET', 'VERB', 'ADP', 'PRON', 'PRON', 'AUX', 'PUNCT']"
"['Harry', 'has', 'avoided', 'all', 'that', 'by', 'living', 'in', 'a', 'Long', 'Island', 'suburb', 'with', 'his', 'wife', ',', 'who', ""'s"", 'so', 'addicted', 'to', 'soap', 'operas', 'and', 'mystery', 'novels', 'she', 'barely', 'seems', 'to', 'notice', 'when', 'her', 'husband', 'disappears', 'for', 'drug', '-', 'seeking', 'forays', 'into', 'Manhattan', '.']","['When', 'her', 'husband', 'disappears', 'for', 'drug', '-', 'seeking', 'forays', 'into', 'Manhattan', ',', 'harry', 'has', 'avoided', 'all', 'that', 'by', 'living', 'in', 'a', 'Long', 'Island', 'suburb', 'with', 'his', 'wife', ',', 'who', ""'s"", 'so', 'addicted', 'to', 'soap', 'operas', 'and', 'mystery', 'novels', 'she', 'barely', 'seems', 'to', 'notice', '.']","['ADV', 'PRON', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PROPN', 'AUX', 'VERB', 'DET', 'DET', 'ADP', 'ADP', 'ADP', 'DET', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PRON', 'ADV', 'VERB', 'PART', 'VERB', 'PUNCT']","['ADV', 'PRON', 'NOUN', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'AUX', 'VERB', 'DET', 'DET', 'ADP', 'ADP', 'ADP', 'DET', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'PRON', 'ADV', 'VERB', 'PART', 'VERB', 'PUNCT']"
"['He', 'is', 'the', 'one', 'you', 'saw', 'on', 'the', 'road', 'when', 'you', 'came', 'here', '.']","['When', 'you', 'came', 'here', ',', 'he', 'is', 'the', 'one', 'you', 'saw', 'on', 'the', 'road', '.']","['ADV', 'PRON', 'VERB', 'ADV', 'PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","['ADV', 'PRON', 'VERB', 'ADV', 'PUNCT', 'PRON', 'AUX', 'DET', 'NUM', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']"
